indicator_id,indicator_label,area_code,area_name,area_type,sex,age,year,value,lower_ci,upper_ci,count,denominator,compared_to_england
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2024,225.879920195089,194.478199911812,260.894246031431,186,87823,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2024,285.782627111215,260.211150334304,313.177629524385,463,175622,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2025,289.746454037158,253.388801939712,329.825507916446,232,87832.212,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2025,240.018095826771,207.7268320565,275.893644759911,199,87648.955,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2025,264.19783,239.72074,290.48658,431,175481.167,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2001,427.71992,366.11311,496.64744,175,50697,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2001,306.9273,257.31027,363.26284,137,50316,Similar
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2001,365.00899,325.29526,408.20175,312,101013,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2001 - 03,438.26649,402.04142,476.85418,550,151785,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2001 - 03,283.61654,255.84782,313.55904,387,151208,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2001 - 03,358.07238,335.3172,381.95528,937,302993,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2002,416.87075,356.94411,483.89692,176,50647,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2002,269.91013,223.76989,322.69927,122,50459,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2002,341.81277,303.76214,383.27788,298,101106,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2002 - 04,425.15489,389.81321,462.81472,544,151575,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2002 - 04,272.51029,245.45363,301.71706,376,151557,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2002 - 04,346.1461,323.9479,369.45481,920,303132,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2003,468.61541,405.06827,539.21618,199,50441,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2003,276.0666,229.9576,328.65079,128,50433,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Persons,<75 yrs,2003,367.38148,328.30061,409.80286,327,100874,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Male,<75 yrs,2003 - 05,398.23638,364.38192,434.36393,520,151362,Better
108,Under 75 mortality rate from all causes,E07000085,East Hampshire,district,Female,<75 yrs,2003 - 05,273.9569,247.02631,303.00423,384,152106,Better
